Name,Bar
Linwood,LUX
Kayden,Four Shields Tavern
Whitney,The Oak and Crosier
Erving,The Cat & Fiddle
Lizeth,Playaz Club
Cyrus,Joe's
Webster,Table Salt
Levy,World's End Tavern
Elzie,O'Malley's
Ferdinand,The Learned Goat
Palmer,Border Watch Inn
Sloane,Cafe Rene
Mat,Roulette
Elwood,Kadie's Club Pecos
Enrique,Puzzles
Kara,Seagrass
Allison,"The Hand & Racquet, East Cheam"
Waldo,Maccadam's Old Oil House
Carly,Mama Chow's Fine Dining
Belinda,The Bamboo Lounge
Rolla,The Bamboo Lounge
Sam,The Ballroom
Wiley,The Tropicana
Ed,Milk Club
Grover,The Yellow Flag
Malaya,Snakehole Lounge
Myron,The Old Haunt
Guadalupe,Bunnys
Thomas,The Bamboo Lounge
Ivan,Mos Eisley Cantina
Angelica,Crab Shack
Tilman,Romanoff's
Mercedes,Puzzles
Scarlett,The Place
Maryam,Tabard
Lisa,The Tropicana
Elianna,Seagrass
Barney,The Rose & Thorn
Damon,Kavanagh's Irish Pub
Mackenzie,Kavanagh's Irish Pub
Oscar,Porky's
Elbridge,Playaz Club
Alice,Frostfruit Inn
Akeelah,The Place
Duff,Mr. Pubbs
Hugh,Salty Sailor Tavern
Keyla,The Place
Lacey,The Bull
Maurice,Porky's
Adalynn,Rovers Return Inn
Joesph,Grilby's
Francisco,Rick's Café Américain
Ephram,Dal Riata
Jacqueline,﻿Ace of Clubs
Jaqueline,Eden Hall
Catalina,The Moon Under Water
Lawson,Copacabana
Pearlie,Deville
Malachi,Free the Paedos
Huston,Shooters
Reese,The Rusty Anchor
Emelia,The Frozen Hearth
Eliseo,Romanoff's
Erasmus,Scarlet Raven Tavern
Okey,Scarlet Raven Tavern
Nylah,The Earl Of Osbourne
Kendal,McAnally's
Maliyah,Alibi Bar
Ana,The Brass Lantern
Virgil,The Admiral Benbow Inn
Selene,Noah's Bar
Austin,Underworld Tavern
Seymour,Shooters
Dominique,The Maidenhead
Destiney,The Iron Horse
Kenna,Jack's Crocodile Bar
Elena,Lusty Leopard
Dallas,The Orange Tree
Cadence,Windpeak Inn
Okey,The Iron Horse
Ludwig,The Eolian
Nyasia,Broken Keel Tavern
Gorge,Y Deri Arms
