Name,Id,Bar,Total,Date,Time
Ebbie,978,The Mucky Duck,20.55,1/1/2017,1:49:00
Wm,4775,The Last Resort,32.35,1/1/2017,18:05:15
Pearlie,5942,The Last Chance Saloon,7.23,1/1/2017,0:38:48
Joesph,6306,SaxonwoldShebeen,3.82,1/1/2017,3:16:42
Jane,6353,Rowlf's Tavern,21.97,1/1/2017,22:28:34
Burton,6390,The Feed Bag,19.31,1/1/2017,19:26:00
Rihanna,6892,Cocktails and Dreams,37.51,1/1/2017,0:48:45
Otho,7186,Maccadam's Old Oil House,17.75,1/1/2017,17:03:55
Hattie,8222,The Woolpack,28.63,1/1/2017,13:36:18
Sherlyn,8877,Crab Shack,29.86,1/1/2017,18:59:34
Harl,10118,Salty Sailor Tavern,13.93,1/1/2017,0:37:17
Sky,12827,The Crab Shed,26.41,1/1/2017,18:52:25
Elise,13367,The Earl Of Osbourne,4.73,1/1/2017,0:24:14
Eileen,15272,Lusty Leopard,5.69,1/1/2017,0:30:31
Alisson,16022,The Queen Victoria,19.04,1/1/2017,19:11:13
Yaretzi,16477,Puzzles,36.68,1/1/2017,21:04:41
Oswald,16569,Central Perk,33.8,1/1/2017,20:32:24
Anastasia,17722,Poison,28.11,1/1/2017,0:46:56
Serenity,18565,The Winchester Tavern,5.86,1/1/2017,2:51:56
Holmes,18836,Vardi's,18.24,1/1/2017,23:00:44
Joslyn,18866,Broken Keel Tavern,5.64,1/1/2017,3:38:17
Gideon,19510,Kelcy's,5.29,1/1/2017,1:55:18
Handy,20544,Milk Club,3.62,1/1/2017,0:25:21
Woodie,21582,De Rossi's Wine Bar,47.51,1/1/2017,1:38:17
Gina,22382,Windpeak Inn,18.64,1/1/2017,23:01:16
Ryan,23437,The Snug,5.62,1/1/2017,12:51:47
Miah,25309,The Shakespeare,45.91,1/1/2017,21:20:52
Robert,25867,Duke's Pub,38.17,1/1/2017,3:13:23
Flora,26576,Mos Eisley Cantina,19.49,1/1/2017,0:54:39
Stephanie,26686,Levy's,10.47,1/1/2017,22:36:13
Mayra,28441,Silver,29.85,1/1/2017,21:08:20
Arther,29010,Jack Rabbit Slim's,18.56,1/1/2017,2:41:42
Erie,29856,The Tropicana,16.31,1/1/2017,0:04:23
